uID,link, desig, details, org, loc, exp, keyskills, descl, salary 
1,https://www.naukri.com/job-listings-AIR-Hostess-cabin-CREW-Jobs-Desk-Delhi-NCR-0-to-1-years-230517007627?src=jobsearchDesk&sid=14955536993155&xp=1,AIR Hostess\cabin CREW,AIR Hostess\cabin CREW,Jobs Desk,Delhi NCR,0-1 yrs,Cabin Crew Activities Air Hostess Activities air hostess cabin crew...,,250000 - 450000 P.A.
2,https://www.naukri.com/job-listings-Sr-executive-assistant-Manager-HR-Bird-Worldwide-Flight-Service-Mumbai-Pvt-Ltd-Mumbai-Mumbai-Suburbs-7-to-12-years-270417002470?src=jobsearchDesk&sid=14955536993155&xp=2,Sr.executive/assistant  Manager- HR,Sr.executive/assistant  Manager- HR,Bird Worldwide Flight Service Mumbai Pvt. Ltd,Mumbai Mumbai Suburbs,7-12 yrs,HR Manual Induction Statutory Compliance PF Attendance Labour Welfare...,"  	Job Profile      :-      HR Polices &amp; ...",450000 - 850000 P.A.
3,https://www.naukri.com/job-listings-Sales-Manager-VITASTA-CONSULTING-PVT-LTD-Pune-5-to-8-years-230517007596?src=jobsearchDesk&sid=14955536993155&xp=3,Sales Manager,Sales Manager,VITASTA CONSULTING PVT LTD,Pune,5-8 yrs,Sales Management Selling Public Sector Operations Management Analytical...,,Not disclosed
4,https://www.naukri.com/job-listings-Walkin-on-May-27-28th-for-Staff-Engineer-Certification-in-Hyderabad-Phoenix-Engineering-Technologies-LLP-Hyderabad-Gachibowli-15-to-18-years-230517007292?src=jobsearchDesk&sid=14955536993155&xp=4,Walkin on May 27&28th for Staff Engineer - Certification in Hyderabad,Walkin on May 27&28th for Staff Engineer - Certification in Hyderabad,Phoenix Engineering Technologies LLP,Hyderabad(Gachibowli),15-18 yrs,Product Design Stress Analysis Finite Element Analysis...,"Job Title: Staff Engineer - Certification	 Reporting to: Sr. Director of Engineering &amp; ...",Not disclosed
5,https://www.naukri.com/job-listings-Mean-Full-Stack-Engineer-aviation-airlines-Product-EOK-Technologies-Info-Systems-Pvt-Ltd-Bengaluru-3-to-8-years-230517006901?src=jobsearchDesk&sid=14955536993155&xp=5,Mean/ Full Stack Engineer (aviation/airlines Product),Mean/ Full Stack Engineer (aviation/airlines Product),EOK Technologies Info Systems Pvt. Ltd.,Bengaluru,3-8 yrs,Javascript Meteor Node.Js Angularjs Heroku MongoDB NoSQL Grails MVC...,Domain : Aviation/Airlines product Based Organization Exp : 3-8 yrs Highly prioritizing for ...,Not disclosed
6,https://www.naukri.com/job-listings-Mean-Full-Stack-Engineer-aviation-airlines-Product-EOK-Technologies-Info-Systems-Pvt-Ltd-Bengaluru-3-to-8-years-230517006888?src=jobsearchDesk&sid=14955536993155&xp=6,Mean/ Full Stack Engineer (aviation/airlines Product),Mean/ Full Stack Engineer (aviation/airlines Product),EOK Technologies Info Systems Pvt. Ltd.,Bengaluru,3-8 yrs,Javascript Meteor Node.Js Angularjs Heroku MongoDB NoSQL Grails MVC...,Domain : Aviation/Airlines product Based Organization Exp : 3-8 yrs Highly prioritizing for ...,Not disclosed
7,https://www.naukri.com/job-listings-Android-Developer-aviation-airlines-Product-EOK-Technologies-Info-Systems-Pvt-Ltd-Bengaluru-3-to-8-years-230517006559?src=jobsearchDesk&sid=14955536993155&xp=7,Android Developer - (aviation/airlines Product),Android Developer - (aviation/airlines Product),EOK Technologies Info Systems Pvt. Ltd.,Bengaluru,3-8 yrs,Android SDK Mobile Development IOS Continuous Integration...,Domain : Aviation/Airlines product Based Organization Exp : 3 - 9 yrs Highly prioritizing for ...,Not disclosed
8,https://www.naukri.com/job-listings-Test-Analyst-Test-Lead-PSS-Vision-Beyond-Resources-India-Private-Limited-Bengaluru-6-to-10-years-230517006347?src=jobsearchDesk&sid=14955536993155&xp=8,Test Analyst / Test Lead - PSS,Test Analyst / Test Lead - PSS,Vision Beyond Resources India Private Limited,Bengaluru,6-10 yrs,Ticketing Test Analysis Test Lead Software Quality Assurance..., Test Analyst &amp; Test Lead  Experience  6-8  PSS DOMAIN EXPERIENCE IS A MUST with good ...,Not disclosed
9,https://www.naukri.com/job-listings-Manufacturing-Engineer-Continental-DataGraphics-Technical-Services-India-Private-Limited-Chennai-3-to-6-years-230517005374?src=jobsearchDesk&sid=14955536993155&xp=9,Manufacturing Engineer,Manufacturing Engineer,Continental DataGraphics Technical Services India Private Limited,Chennai,3-6 yrs,Production Manufacturing Engineering Industrial Engineering Windows...,,Not disclosed
10,https://www.naukri.com/job-listings-Opening-at-GVK-MIAL-SAP-Re-Fx-SD-Consultant-Mumbai-International-Airport-Pvt-Ltd-Mumbai-Navi-Mumbai-Mumbai-Suburbs-10-to-20-years-230517005039?src=jobsearchDesk&sid=14955536993155&xp=10,Opening at GVK MIAL - SAP Re Fx & SD Consultant,Opening at GVK MIAL - SAP Re Fx & SD Consultant,Mumbai International Airport Pvt. Ltd,Mumbai Navi Mumbai Mumbai Suburbs,10-20 yrs,SAP SD RE FX,Mumbai international Airport is Looking for SAP ReFx and SD consultant for its  SAP team ...,1000000 - 2000000 P.A.
11,https://www.naukri.com/job-listings-Airhostess-females-Only-Interview-Kolkata-Chennai-Hyderabad-Intellecta-Consultants-Kolkata-Chennai-Hyderabad-0-to-5-years-220115001706?src=jobsearchDesk&sid=14955536993155&xp=11,Airhostess (females Only ) Interview : Kolkata Chennai & Hyderabad,Airhostess (females Only ) Interview : Kolkata Chennai & Hyderabad,Intellecta Consultants,Kolkata Chennai Hyderabad,0-5 yrs,Fresher BPO flight attendant cabin crew airhostess cabin attendent...,,300000 - 800000 P.A. Plus other Flying Allowances
12,https://www.naukri.com/job-listings-Cabin-Crew-Air-Hostess-Walk-In-Interview-Call-Now-to-Apply-Intellecta-Consultants-Shillong-Guwahati-Bengaluru-0-to-5-years-250615003256?src=jobsearchDesk&sid=14955536993155&xp=12,Cabin Crew (Air Hostess) Walk In Interview..!! - Call Now to Apply,Cabin Crew (Air Hostess) Walk In Interview..!! - Call Now to Apply,Intellecta Consultants,Shillong Guwahati Bengaluru,0-5 yrs,Fresher BPO flight attendant cabin crew airhostess cabin attendent...,,300000 - 700000 P.A. Plus other Flying Allowances
13,https://www.naukri.com/job-listings-Purchase-Executive-female-Corp-Placements-Bengaluru-2-to-7-years-230517002024?src=jobsearchDesk&sid=14955536993155&xp=13,Purchase Executive(female),Purchase Executive(female),Corp Placements,Bengaluru,2-7 yrs,Advanced Excel purchase executive,,Not disclosed
14,https://www.naukri.com/job-listings-Air-Charter-Sales-Adecco-India-Private-Limited-Mumbai-7-to-12-years-230517001373?src=jobsearchDesk&sid=14955536993155&xp=14,Air Charter - Sales,Air Charter - Sales,Adecco India Private Limited,Mumbai,7-12 yrs,Sales Presentations Dispatch Team Leading sales sales solutions,Reporting locally to the office Team Leader and divisionally to the Charter Sales Trading Manager the ...,Not disclosed
15,https://www.naukri.com/job-listings-Immediate-Hiring-for-BMC-Patrol-for-Leading-MNC-Phoenix-Human-Capital-Pvt-Ltd-Bengaluru-Sarjapur-2-to-5-years-230517000925?src=jobsearchDesk&sid=14955536993155&xp=15,Immediate Hiring for BMC Patrol for Leading MNC,Immediate Hiring for BMC Patrol for Leading MNC,Phoenix Human Capital Pvt. Ltd.,Bengaluru(Sarjapur),2-5 yrs,Bmc Patrol bmc patrol admin bmc administrator bmc patrol administrator...,,250000 - 600000 P.A.
16,https://www.naukri.com/job-listings-Hiring-4-Aviation-AIR-Ticketing-SAL-UPTO-3-5L-CALL-9916810679-Rivera-Manpower-Services-Bengaluru-0-to-4-years-230517000378?src=jobsearchDesk&sid=14955536993155&xp=16,Hiring 4 Aviation / AIR Ticketing / SAL UPTO 3.5L / CALL 9916810679,Hiring 4 Aviation / AIR Ticketing / SAL UPTO 3.5L / CALL 9916810679,Rivera Manpower Services,Bengaluru,0-4 yrs,Air Ticketing Customer Service Aviation 24 / 7 customer support...,,200000 - 350000 P.A. Night Shift Allowance + BOTH W...
17,https://www.naukri.com/job-listings-Walkin-on-May-27th-28th-for-Mechanical-Design-Engineer-ii-in-Hyderabad-Phoenix-Engineering-Technologies-LLP-Hyderabad-Gachibowli-6-to-11-years-220517008651?src=jobsearchDesk&sid=14955536993155&xp=17,Walkin on May 27th&28th for Mechanical Design Engineer-ii in Hyderabad,Walkin on May 27th&28th for Mechanical Design Engineer-ii in Hyderabad,Phoenix Engineering Technologies LLP,Hyderabad(Gachibowli),6-11 yrs,Part Design Mechanical Engineering CATIA 2D Drafting Design Engineering...,Job Title: Mechanical Design Engineer- II Reporting To: Project Lead JD Number: PETJD02 ...,Not disclosed
18,https://www.naukri.com/job-listings-Walkin-on-May27-28th-for-Staff-Engineer-Electrical-Design-in-Hyderabad-Phoenix-Engineering-Technologies-LLP-Hyderabad-Gachibowli-15-to-18-years-220517008629?src=jobsearchDesk&sid=14955536993155&xp=18,Walkin on May27&28th for Staff Engineer Electrical Design in Hyderabad,Walkin on May27&28th for Staff Engineer Electrical Design in Hyderabad,Phoenix Engineering Technologies LLP,Hyderabad(Gachibowli),15-18 yrs,Electrical Design Electricals Electrical Engineering CATIA High Voltage...,"Job Title: Staff Engineer Electrical Design	 Reporting to: Director - Engineering	 JD NUMBER: ...",Not disclosed
19,https://www.naukri.com/job-listings-Walkin-on-May27-28th-for-Staff-Engineer-mechanical-Design-in-Hyderabad-Phoenix-Engineering-Technologies-LLP-Hyderabad-Gachibowli-15-to-18-years-220517008608?src=jobsearchDesk&sid=14955536993155&xp=19,Walkin on May27&28th for Staff Engineer-mechanical Design in Hyderabad,Walkin on May27&28th for Staff Engineer-mechanical Design in Hyderabad,Phoenix Engineering Technologies LLP,Hyderabad(Gachibowli),15-18 yrs,Mechanical Design DFMA Aeronautical CATIA Production Product Design...,"Job Title: 	    Staff Engineer- Mechanical Design	 Reporting To: Director of Engineering	 JD ...",Not disclosed
20,https://www.naukri.com/job-listings-Walkin-on-May-27-28th-for-Mechanical-Drafting-Engineer-in-Hyderabad-Phoenix-Engineering-Technologies-LLP-Hyderabad-Gachibowli-3-to-5-years-220517008590?src=jobsearchDesk&sid=14955536993155&xp=20,Walkin on May 27&28th for Mechanical Drafting Engineer in Hyderabad,Walkin on May 27&28th for Mechanical Drafting Engineer in Hyderabad,Phoenix Engineering Technologies LLP,Hyderabad(Gachibowli),3-5 yrs,Tool Design Part Modeling Sheet Metal Aeronautical CATIA Diploma...,"Job Title:	     Mechanical Drafting Engineer	 Reporting To:  Team Lead	 JD Number: ...",Not disclosed
21,https://www.naukri.com/job-listings-Walkin-on-May-27-28th-for-Certification-stress-Engineer-in-Hyderabad-Phoenix-Engineering-Technologies-LLP-Hyderabad-Gachibowli-5-to-8-years-220517008574?src=jobsearchDesk&sid=14955536993155&xp=21,Walkin on May 27 & 28th for Certification-stress Engineer in Hyderabad,Walkin on May 27 & 28th for Certification-stress Engineer in Hyderabad,Phoenix Engineering Technologies LLP,Hyderabad(Gachibowli),5-8 yrs,Test Reporting Quality Engineering Quality Management...,"Job Title:	 Quality Engineer - Certification - Stress &amp; Flammability	 Reporting To:  Quality ...",Not disclosed
22,https://www.naukri.com/job-listings-Walkin-on-May-27-28th-for-Electrical-Design-Drafting-in-Hyderabad-Phoenix-Engineering-Technologies-LLP-Hyderabad-Gachibowli-4-to-7-years-220517008559?src=jobsearchDesk&sid=14955536993155&xp=22,Walkin on May 27&28th for Electrical Design & Drafting in Hyderabad,Walkin on May 27&28th for Electrical Design & Drafting in Hyderabad,Phoenix Engineering Technologies LLP,Hyderabad(Gachibowli),4-7 yrs,2D Drafting Part Design Electricals Electrical Engineering...,"Job Title:                Quality Engineer - Electrical Design &amp; Drafting	 Reporting To: ...",Not disclosed
23,https://www.naukri.com/job-listings-Walkin-on-May-27th-28th-for-Methods-Engineer-in-Hyderabad-Phoenix-Engineering-Technologies-LLP-Hyderabad-Gachibowli-5-to-8-years-220517008529?src=jobsearchDesk&sid=14955536993155&xp=23,Walkin on May 27th & 28th for Methods Engineer in Hyderabad,Walkin on May 27th & 28th for Methods Engineer in Hyderabad,Phoenix Engineering Technologies LLP,Hyderabad(Gachibowli),5-8 yrs,Design Manufacturing CATIA Plastic Sheet Metal Aeronautical Aerospace...,"Job Title:       Quality Engineer - Methods  Reporting To:   Quality Manager	 JD NUMBER: ...",Not disclosed
