link, desig, details, org, loc, exp, keyskills, descl, salary 
https://www.naukri.com/job-listings-Opportunity-with-Cmml5-Company-for-Infotainment-Volantis-Technologies-Pvt-Ltd-Pune-8-to-13-years-230517008761?src=jobsearchDesk&sid=14955528596374&xp=1,Opportunity with Cmml5 Company for Infotainment,Opportunity with Cmml5 Company for Infotainment,Volantis Technologies Pvt Ltd.,Pune,8-13 yrs,Embedded Linux GNU OOAD UML Multithreading Embedded Systems...,,Not disclosed
https://www.naukri.com/job-listings-Direct-Walk-in-on-26th-May-2pm-4pm-for-Web-Developer-Airoli-Accenture-Solutions-Pvt-Ltd-Mumbai-2-to-6-years-230517008690?src=jobsearchDesk&sid=14955528596374&xp=2,Direct Walk-in on 26th May_2pm-4pm for Web Developer - Airoli,Direct Walk-in on 26th May_2pm-4pm for Web Developer - Airoli,Accenture Solutions Pvt Ltd,Mumbai,2-6 yrs,HTML CSS JQuery Web Development CMS Web Technologies...,,Not disclosed
https://www.naukri.com/job-listings-Executive-Assistant-to-CEO-US-Shift-GlobalStep-Services-Pvt-Ltd-Pune-Vadgaon-Sheri-1-4-to-7-years-230517008759?src=jobsearchDesk&sid=14955528596374&xp=3,Executive Assistant to CEO ( US Shift),Executive Assistant to CEO ( US Shift),GlobalStep Services Pvt Ltd,Pune(Vadgaon Sheri+1),4-7 yrs,Administration Administrative Assistance Travel Desk...,Looking after CEO's calendar Travel plan &amp; LogisticsCoordinate day-to-day ...,Not disclosed
https://www.naukri.com/job-listings-Account-Payable-Executive-Collabera-Technologies-Pvt-Ltd-Vadodara-1-to-2-years-230517008674?src=jobsearchDesk&sid=14955528596374&xp=4,Account Payable Executive,Account Payable Executive,Collabera Technologies Pvt. Ltd.,Vadodara,1-2 yrs,accounts payable,Job title: Account Payable Executive	Location: Baroda Gujarat	Shift Timings:  6 pm-4 am(Mon-Fri ...,Not disclosed
https://www.naukri.com/job-listings-Opportunity-with-Cmml5-Company-for-Infor-X-Functional-Consultant-Volantis-Technologies-Pvt-Ltd-Pune-3-to-7-years-230517008698?src=jobsearchDesk&sid=14955528596374&xp=5,Opportunity with Cmml5 Company for Infor X Functional Consultant,Opportunity with Cmml5 Company for Infor X Functional Consultant,Volantis Technologies Pvt Ltd.,Pune,3-7 yrs,Infor XA mapics,,Not disclosed
https://www.naukri.com/job-listings-Looking-for-Candidates-with-Amazon-Web-Service-aws-Experince-Synechron-Technologies-Pvt-Ltd-Pune-4-to-9-years-230517008662?src=jobsearchDesk&sid=14955528596374&xp=6,Looking for Candidates with Amazon Web Service (aws) Experince.,Looking for Candidates with Amazon Web Service (aws) Experince.,Synechron Technologies Pvt Ltd,Pune,4-9 yrs,Devops AWS Python Cloud Web Technologies amazon web service migration,Job Description : Minimum 4 - 5 years of experience ...,Not disclosed
https://www.naukri.com/job-listings-Opening-for-System-Admin-desktop-Support-Frontier-Business-Systems-Private-Limited-Coimbatore-Bhubaneshwar-1-to-2-years-230517008657?src=jobsearchDesk&sid=14955528596374&xp=7,Job Opening for System Admin/desktop Support,Job Opening for System Admin/desktop Support,Frontier Business Systems Private Limited,Coimbatore Bhubaneshwar,1-2 yrs,LAN Troubleshooting Desktop Support System Administration...,Dear all Looking for candidates for System admin/ desktop support /technical support for one of ...,Not disclosed
https://www.naukri.com/job-listings-Need-Immediate-Joiners-Cobol-Developer-6-to-9-Years-Mumbai-Capgemini-Technology-Services-India-Limited-Mumbai-6-to-9-years-230517008655?src=jobsearchDesk&sid=14955528596374&xp=8,Need Immediate Joiners- Cobol Developer || 6 to 9 Years || Mumbai,Need Immediate Joiners- Cobol Developer || 6 to 9 Years || Mumbai,Capgemini Technology Services India Limited,Mumbai,6-9 yrs,cobol RPG DB2 L3 support production support development,We are hiring COBOL Developer role within our team in Mumbai Skill / Specification / ...,Not disclosed
https://www.naukri.com/job-listings-PHP-Developer-PHP-Team-Leader-aasaanjobs-private-limited-Mumbai-2-to-7-years-230517008652?src=jobsearchDesk&sid=14955528596374&xp=9,PHP Developer / PHP Team Leader,PHP Developer / PHP Team Leader,aasaanjobs private limited,Mumbai,2-7 yrs,Javascript Codeigniter CSS HTML Ajax PHP Yii Zend MySQL...,Education:- GraduationExperience:- 24 to 60 monthsMinimum 2 years of experience as a PHP ...,325000 - 825000 P.A. other
https://www.naukri.com/job-listings-Java-Technical-Architect-Impetus-Infotech-India-Pvt-Ltd-Delhi-NCR-Indore-5-to-10-years-230517008632?src=jobsearchDesk&sid=14955528596374&xp=10,Java - Technical Architect,Java - Technical Architect,Impetus Infotech ( India ) Pvt. Ltd.,Delhi NCR Indore,5-10 yrs,Core Java Multithreading collections algorithm data structures...,,Not disclosed
https://www.naukri.com/job-listings-Senior-Software-Engineer-Java-Developer-Accolite-Software-India-Pvt-Ltd-Mumbai-Bengaluru-3-to-8-years-230517008643?src=jobsearchDesk&sid=14955528596374&xp=11,Senior Software Engineer - Java Developer,Senior Software Engineer - Java Developer,Accolite Software India Pvt Ltd,Mumbai Bengaluru,3-8 yrs,Software Engineering java multithreading Data Structure and Algorithms...,,Not disclosed
https://www.naukri.com/job-listings-Looking-for-Fresher-experienced-b-e-mba-nagpur-adcc-Infocad-Ltd-ADCC-Infocad-Ltd-Nagpur-0-to-5-years-230517008641?src=jobsearchDesk&sid=14955528596374&xp=12,Looking for Fresher/experienced -b.e+mba-nagpur-adcc Infocad Ltd.,Looking for Fresher/experienced -b.e+mba-nagpur-adcc Infocad Ltd.,ADCC Infocad Ltd,Nagpur,0-5 yrs,fresher Engineering MBA,,50000 - 200000 P.A. other
https://www.naukri.com/job-listings-Sourcing-Specialist-Indore-day-Shift-5-Days-Working-LanceSoft-India-Pvt-Ltd-Indore-0-to-1-years-230517008613?src=jobsearchDesk&sid=14955528596374&xp=13,Sourcing Specialist - Indore day Shift - 5 Days Working,Sourcing Specialist - Indore day Shift - 5 Days Working,LanceSoft India Pvt. Ltd.,Indore,0-1 yrs,Pressure Handling Interviewing Negotiation Skills Communication Skills...,Job Description:1. Identify and Search IT Professionals in the US Market through different Sources. ...,Not disclosed
https://www.naukri.com/job-listings-PEGA-Architect-Opening-for-Bangalore-Location-Experis-IT-Private-Limited-Bengaluru-9-to-14-years-230517008607?src=jobsearchDesk&sid=14955528596374&xp=14,PEGA Architect Opening for Bangalore Location,PEGA Architect Opening for Bangalore Location,Experis IT Private Limited,Bengaluru,9-14 yrs,pega architect LSA Lead System Architect prpc,Currently we are looking for Pega Architect opening for Bangalore location.Selected candidates ...,Not disclosed
https://www.naukri.com/job-listings-Hiring-for-Networking-Customer-Support-Hcl-Technologies-Limited-Chennai-3-to-6-years-230517008603?src=jobsearchDesk&sid=14955528596374&xp=15,Hiring for Networking Customer Support,Hiring for Networking Customer Support,Hcl Technologies Limited,Chennai,3-6 yrs,Networking Routing Protocols Switching Ip Routing TCP...,Required Skills &amp; QualificationsIt is expected that the applicant must have:	BA/B. ...,Not disclosed
https://www.naukri.com/job-listings-Managing-Consultant-Utilities-Retail-Wipro-Ltd-Pune-Pune-10-to-20-years-230517901463?src=jobsearchDesk&sid=14955528596374&xp=16,Managing Consultant - Utilities - Retail,Managing Consultant - Utilities - Retail,Wipro Ltd,Pune Pune,10-20 yrs,ENU Consulting,17+ Yrs of globalexperience in Utilities Energy Retailers and Solution designing. ...,Not disclosed
https://www.naukri.com/job-listings-Lead-Administrator-Unix-Infrastructure-Wipro-Ltd-Pune-Pune-5-to-10-years-230517901465?src=jobsearchDesk&sid=14955528596374&xp=17,Lead Administrator Unix Infrastructure,Lead Administrator Unix Infrastructure,Wipro Ltd,Pune Pune,5-10 yrs,Solaris Admin,Key skills required for the job are: Solaris Admin (Mandatory) As a Lead Administrator you should be ...,Not disclosed
https://www.naukri.com/job-listings-Lead-Administrator-Desktop-Support-Wipro-Ltd-Coimbatore-Coimbatore-3-to-8-years-230517901464?src=jobsearchDesk&sid=14955528596374&xp=18,Lead Administrator - Desktop Support,Lead Administrator - Desktop Support,Wipro Ltd,Coimbatore Coimbatore,3-8 yrs,SCCM Admin - System Center Configuration Manager,Â  Technical Leadwith 8 years of experience in Software Distribution Software Updates ...,Not disclosed
https://www.naukri.com/job-listings-Lead-Administrator-Windows-Infrastructure-Wipro-Ltd-Bengaluru-Bengaluru-5-to-10-years-230517901466?src=jobsearchDesk&sid=14955528596374&xp=19,Lead Administrator Windows Infrastructure,Lead Administrator Windows Infrastructure,Wipro Ltd,Bengaluru Bengaluru,5-10 yrs,Windows Admin,Key skills required for the job are: Windows Admin (Mandatory) As a Lead Administrator you should be ...,Not disclosed
https://www.naukri.com/job-listings-Tech-Lead-IBM-ESB-Wipro-Ltd-Bengaluru-Bengaluru-3-to-8-years-230517901467?src=jobsearchDesk&sid=14955528596374&xp=20,Tech Lead IBM ESB,Tech Lead IBM ESB,Wipro Ltd,Bengaluru Bengaluru,3-8 yrs,ESB,Key skills required for the job are: undefined(Mandatory) As a Lead you are responsible for managing a ...,Not disclosed
https://www.naukri.com/job-listings-Tech-Lead-Enterprise-Platform-Engineering-Wipro-Ltd-Chennai-Chennai-3-to-8-years-230517901468?src=jobsearchDesk&sid=14955528596374&xp=21,Tech Lead Enterprise Platform Engineering,Tech Lead Enterprise Platform Engineering,Wipro Ltd,Chennai Chennai,3-8 yrs,Enterprise Platforms Engineering,Key skills required for the job are: Enterprise Platforms Engineering (Mandatory) Java-J2EE As a Lead ...,Not disclosed
https://www.naukri.com/job-listings-Tech-Lead-Enterprise-Platform-Engineering-Wipro-Ltd-Kolkata-Kolkata-3-to-8-years-230517901469?src=jobsearchDesk&sid=14955528596374&xp=22,Tech Lead Enterprise Platform Engineering,Tech Lead Enterprise Platform Engineering,Wipro Ltd,Kolkata Kolkata,3-8 yrs,Enterprise Platforms Engineering,Key skills required for the job are: Enterprise Platforms Engineering (Mandatory) Core Java As a Lead ...,Not disclosed
https://www.naukri.com/job-listings-Lead-IT-Environment-Management-Wipro-Ltd-Bengaluru-Bengaluru-3-to-8-years-230517901470?src=jobsearchDesk&sid=14955528596374&xp=23,Lead - IT Environment Management,Lead - IT Environment Management,Wipro Ltd,Bengaluru Bengaluru,3-8 yrs,IT Environment Management,Key skills required for the job are: IT Environment Management (Mandatory) As a Lead you are ...,Not disclosed
https://www.naukri.com/job-listings-Urgent-Opening-for-Business-Development-Managers-with-Scadea-Noida-Scadea-Software-Solutions-Pvt-Ltd-Noida-Sector-63-Noida-4-to-9-years-230517008517?src=jobsearchDesk&sid=14955528596374&xp=24,Urgent Opening for Business Development Managers with Scadea Noida,Urgent Opening for Business Development Managers with Scadea Noida,Scadea Software Solutions Pvt Ltd.,Noida(Sector-63 Noida),4-9 yrs,Sales Management Business Development Management Key Account Management...,Scadea Solutions Inc. a fast growing ERP Services company is seeking motivated Business Development ...,Not disclosed
https://www.naukri.com/job-listings-Pre-sales-Analyst-Proposal-Writer-Zolon-Tech-Ltd-Hyderabad-Madhapur-1-to-3-years-230517008518?src=jobsearchDesk&sid=14955528596374&xp=25,Pre-sales Analyst/ Proposal Writer,Pre-sales Analyst/ Proposal Writer,Zolon Tech Ltd,Hyderabad(Madhapur),1-3 yrs,Market Research Primary Research Market Analysis Business Development...,Job Title         : Pre-Sales Analyst/Proposal ...,200000 - 500000 P.A. other
https://www.naukri.com/job-listings-Walkin-Drive-for-UI-UX-FSS-on-Friday-10-00-am-4-00pm-Financial-Software-Systems-Pvt-Ltd-Chennai-2-to-6-years-230517008519?src=jobsearchDesk&sid=14955528596374&xp=26,Walkin Drive for UI/ UX @ FSS on Friday ( 10.00 am- 4.00pm),Walkin Drive for UI/ UX @ FSS on Friday ( 10.00 am- 4.00pm),Financial Software  Systems Pvt. Ltd.,Chennai,2-6 yrs,Photoshop HTML Illustrator Html5 Javascript UX Web Technologies...,Job Description Greetings from FSS!!Job ResponsibilityExpert and working ...,200000 - 700000 P.A. other
https://www.naukri.com/job-listings-Cybage-Software-Hiring-Hybris-Developers-Cybage-Software-Pvt-Ltd-Pune-3-to-8-years-170417004239?src=jobsearchDesk&sid=14955528596374&xp=27,Cybage Software - Hiring Hybris Developers,Cybage Software - Hiring Hybris Developers,Cybage Software Pvt. Ltd,Pune,3-8 yrs,Hybris hybris developer hybris sap sap hybris hybris certified,  About Hybris at Cybage   Cybage Software is a technology consulting organization ...,Not disclosed
https://www.naukri.com/job-listings-Hiring-Freshers-any-Graduate-IT-Recruiter-Night-Shift-Indore-LanceSoft-India-Pvt-Ltd-Indore-0-to-1-years-260417000687?src=jobsearchDesk&sid=14955528596374&xp=28,Hiring Freshers any Graduate  - IT Recruiter - Night Shift - Indore,Hiring Freshers any Graduate  - IT Recruiter - Night Shift - Indore,LanceSoft India Pvt. Ltd.,Indore,0-1 yrs,US IT Recruitment US Market Night Shift Team Leading Pressure Handling...,Title: US IT Recruiter Location: Indore 301 Airen Heights PU III Scheme No. 54 Indore -452010 Opp. ...,Not disclosed
https://www.naukri.com/job-listings-Walk-in-ll-Php-drupal-Developer-ll-Q3-Technologies-ll-Q3-Infotech-Private-Limited-Gurgaon-Sohna-Road-2-to-7-years-050417001524?src=jobsearchDesk&sid=14955528596374&xp=29,Walk in ll Php-drupal Developer ll Q3 Technologies ll,Walk in ll Php-drupal Developer ll Q3 Technologies ll,Q3 Infotech Private Limited,Gurgaon(Sohna Road),2-7 yrs,MySQL PHP JQuery Drupal MVC Framework LAMP STACK,,Not disclosed
https://www.naukri.com/job-listings-Java-with-Angular-JS-Webservices-Rest-JSON-Business-arts-India-Pvt-Ltd-Hyderabad-4-to-7-years-230517008433?src=jobsearchDesk&sid=14955528596374&xp=30,Java with Angular JS Webservices Rest JSON,Java with Angular JS Webservices Rest JSON,Business arts India Pvt. Ltd.,Hyderabad,4-7 yrs,Rest Javascript JSON Web Services Java,,300000 - 800000 P.A.
https://www.naukri.com/job-listings-SAP-ABAP-Certified-Freshers-Walk-in-Krish-IT-Solutions-Pvt-Ltd-Chennai-0-to-0-years-220117001225?src=jobsearchDesk&sid=14955528596374&xp=31,SAP ABAP Certified Freshers Walk-in,SAP ABAP Certified Freshers Walk-in,Krish IT Solutions Pvt Ltd,Chennai,0-0 yrs,SAP ABAP,Greetings !!!   We are looking for SAP ABAP Freshers with Certified for our projects.  ...,Not disclosed
https://www.naukri.com/job-listings-Test-Data-Management-Lead-SQS-India-BFSI-Limited-Chennai-7-to-10-years-230517008426?src=jobsearchDesk&sid=14955528596374&xp=32,Test Data Management - Lead,Test Data Management - Lead,SQS India BFSI Limited,Chennai,7-10 yrs,Oracle SQL SQL Server Teradata Informatica ETL Talend Ab Initio...,    SQS INDIA BFSI Ltd is Hiring for TDM(Test Data Management)Lead with 7 - 10 Years ...,Not disclosed
https://www.naukri.com/job-listings-Openings-for-MNC-Client-hyderabad-and-Pune-Right-Avenue-Infotech-Private-Limited-Pune-Hyderabad-3-to-8-years-230517008428?src=jobsearchDesk&sid=14955528596374&xp=33,Openings for MNC Client (hyderabad and Pune),Openings for MNC Client (hyderabad and Pune),Right Avenue Infotech Private Limited,Pune Hyderabad,3-8 yrs,Automation Testing Selenium Cucumber API Testing Grid SOAP UI Maven...,Job Details:- Job Type : Full time   Skills :    Work Location: ...,Not disclosed
https://www.naukri.com/job-listings-Urgent-Opening-For-Net-Developer-Business-arts-India-Pvt-Ltd-Hyderabad-4-to-7-years-230517008423?src=jobsearchDesk&sid=14955528596374&xp=34,Urgent Opening For .Net Developer,Urgent Opening For .Net Developer,Business arts India Pvt. Ltd.,Hyderabad,4-7 yrs,java spring hibernate Big Data,,Not disclosed
https://www.naukri.com/job-listings-Obiee-Consultant-Developer-Pylon-Management-Consulting-Pvt-Ltd-Bengaluru-4-to-7-years-230517008414?src=jobsearchDesk&sid=14955528596374&xp=35,Obiee Consultant / Developer,Obiee Consultant / Developer,Pylon Management Consulting Pvt Ltd,Bengaluru,4-7 yrs,SQL Oracle Database 11G PLSQL PL Performance Tuning OBIEE ETL RPD...,Hi  Hiring for OBIEE Consultant / developer for a CMM level 5 professional service company for ...,Not disclosed
