uID, link, desig, details, org, loc, exp, keyskills, descl, salary, date 
1,https://www.naukri.com/job-listings-Assistant-Deputy-Manager-Human-Resources-Mukand-Ltd-Mumbai-Kalwa-5-to-10-years-200417006081?src=jobsearchDesk&sid=14965021636977&xp=1,Assistant/ Deputy Manager - Human Resources,Assistant/ Deputy Manager - Human Resources,Mukand Ltd,Mumbai(Kalwa),5-10 yrs,Recruitment- Induction- Performance Appraisal- Interviewing- Sourcing...,"1.	Responsible for recruitment within specified deadline.  2. Sourcing in line with business plan in ...",Not disclosed,0
2,https://www.naukri.com/job-listings-Analyst-Senior-Analyst-Reporting-HR-Deloitte-Hyderabad-3-to-6-years-030617900487?src=jobsearchDesk&sid=14965021636977&xp=2,Analyst / Senior Analyst - Reporting (HR),Analyst / Senior Analyst - Reporting (HR),Deloitte,Hyderabad,3-6 yrs,Health & Safety- Human Resources Strategy- Human Resources Systems..., ,Not disclosed,0
3,https://www.naukri.com/job-listings-Assistant-Deputy-Manager-Human-Resources-Mukand-Ltd-Mumbai-Kalwa-5-to-10-years-030617003729?src=jobsearchDesk&sid=14965021636977&xp=3,Assistant/ Deputy Manager - Human Resources,Assistant/ Deputy Manager - Human Resources,Mukand Ltd,Mumbai(Kalwa),5-10 yrs,Recruitment- Induction- Performance Appraisal- Interviewing- Sourcing...,"1.	Responsible for recruitment within specified deadline.  2. Sourcing in line with business plan in ...",Not disclosed,0
4,https://www.naukri.com/job-listings-Sr-HR-Executive-Male-Only-call-7838294039-9810744840-Onkar-Infotech-Pvt-Ltd-Gurgaon-2-to-7-years-140616010692?src=jobsearchDesk&sid=14965021636977&xp=4,Sr. HR Executive- Male Only/call 7838294039/9810744840,Sr. HR Executive- Male Only/call 7838294039/9810744840,Onkar Infotech Pvt. Ltd.,Gurgaon,2-7 yrs,talent management- employee relations- leaves & attendance- induction, ,300000 - 425000 P.A.,0
5,https://www.naukri.com/job-listings-HR-Assistant-Dy-Manager-Nasik-Ashoka-Buildcon-Ltd-Nasik-8-to-10-years-030617002334?src=jobsearchDesk&sid=14965021636977&xp=5,HR- Assistant/ Dy. Manager- Nasik,HR- Assistant/ Dy. Manager- Nasik,Ashoka Buildcon Ltd.,Nasik,8-10 yrs,Core HR- Payroll Management- Performance Appraisal- HR Assistance- Hr Mba...,Candidate with MBA(HR)/ MPM/ DLW/DLL with relevant experience of 10+yrs required. Candidate from ...,600000 - 950000 P.A.,0
6,https://www.naukri.com/job-listings-HR-Executive-Nestle-India-Ltd-Wayanad-10-to-20-years-060517000462?src=jobsearchDesk&sid=14965021636977&xp=6,HR Executive,HR Executive,Nestle India Ltd.,Wayanad,10-20 yrs,Industrial Relations- Employee Relations- Employee Communication...,"Job Title :	HR Executive Level:	Senior Executive Reports to:	HR Manager- Plant Manager ...",1100000 - 1300000 P.A.,0
7,https://www.naukri.com/job-listings-HR-Executive-Senior-HR-Executive-ANRI-SOLUTIONS-HR-SERVICES-PVT-LTD-Delhi-Janakpuri-0-to-3-years-030617003212?src=jobsearchDesk&sid=14965021636977&xp=7,HR Executive/ Senior HR Executive,HR Executive/ Senior HR Executive,ANRI SOLUTIONS HR SERVICES PVT LTD,Delhi(Janakpuri),0-3 yrs,Recruitment- Shortlisting- Head Hunting- Screening- Sourcing..., ,200000 - 300000 P.A.,0
8,https://www.naukri.com/job-listings-HR-Manager-Blueberry-Digital-Labs-Hyderabad-3-to-6-years-010617900752?src=jobsearchDesk&sid=14965021636977&xp=8,HR Manager,HR Manager,Blueberry Digital Labs,Hyderabad,3-6 yrs,Campus Recruitment- Hr Mba- Compensation- Benefits- Orientation- Training...,"Must be from a good University- with MBA in HR. 	Must have experience as HR Manager- managing 100 to ...",Not disclosed,0
9,https://www.naukri.com/job-listings-Group-Head-HR-for-one-of-the-Leading-Hospital-Chain-hyderabad-LIONTREE-HR-CONSULTANTS-PVT-LTD-Hyderabad-15-to-25-years-030617001310?src=jobsearchDesk&sid=14965021636977&xp=9,Group Head HR for one of the Leading Hospital Chain-hyderabad,Group Head HR for one of the Leading Hospital Chain-hyderabad,LIONTREE HR CONSULTANTS PVT. LTD.,Hyderabad,15-25 yrs,HR Generalist Activities- Performance Management- Business HR..., Merger &amp; acquisitions HR Generalist Activities- Performance Management- Talent ...,3500000 - 6000000 P.A.,0
10,https://www.naukri.com/job-listings-Hr-administration-Facility-Management-Larsen-Toubro-Limited-Pune-4-to-8-years-070317003975?src=jobsearchDesk&sid=14965021636977&xp=10,Hr/administration & Facility Management,Hr/administration & Facility Management,Larsen & Toubro Limited,Pune,4-8 yrs,Office Administration- Employee Engagement- Pantry- Housekeeping..., ,Not disclosed,0
