Link,Title,Title-2,Company Name,Location,Experience ,Key Skills,Description,Salary,Time,,,,,,
https://www.naukri.com/job-listings-JK-Technosoft-Direct-Contract-HR-Policy-Noida-JK-Technosoft-Ltd-Delhi-NCR-1-to-2-years-210318002842?src=jobsearchDesk&sid=15216376043248&xp=1&px=2,JK Technosoft / Direct Contract- HR Policy / Noida,JK Technosoft / Direct Contract- HR Policy / Noida,JK Technosoft Ltd,Delhi NCR,1-2 yrs,HR- Training- Employee Relations- Performance Management- Induction...,Hi    We are looking for young - enthusiastic HR professional for direct contract ...,Not disclosed,0,,,,,,
https://www.naukri.com/job-listings-Senior-Manager-HR-SAP-HCM-Shapoorji-Pallonji-And-Company-Private-Limited-Mumbai-12-to-18-years-210318002738?src=jobsearchDesk&sid=15216376043248&xp=2&px=2,Senior Manager - HR (SAP HCM),Senior Manager - HR (SAP HCM),Shapoorji Pallonji And Company Private Limited.,Mumbai,12-18 yrs,sap hcm- senior management- data migration- sap implementation..., ,1400000 - 2000000 P.A.,0,,,,,,
https://www.naukri.com/job-listings-HR-Generalist-V-PACT-Hyderabad-1-to-6-years-210318002406?src=jobsearchDesk&sid=15216376043248&xp=3&px=2,HR Generalist,HR Generalist,V-PACT,Hyderabad,1-6 yrs,hr generalist activities- onboarding- compensation- performance management-...,  Administer compensation and benefit plans  Assist in talent acquisition and ...,100000 - 300000 P.A.,0,,,,,,
https://www.naukri.com/job-listings-Opportunity-for-Travel-Email-Process-Meet-Hr-Ashiya-Sutherland-Global-Services-Private-Limited-Mumbai-Mumbai-Suburbs-Navi-Mumbai-Thane-0-to-5-years-210318002186?src=jobsearchDesk&sid=15216376043248&xp=4&px=2,Opportunity for Travel Email Process Meet Hr Ashiya,Opportunity for Travel Email Process Meet Hr Ashiya,Sutherland Global Services Private Limited,Mumbai- Mumbai Suburbs- Navi Mumbai- Thane,0-5 yrs,Travel- Hiring- IATA- Email Process- Verbal Communication- English Language..., ,100000 - 275000 P.A.,0,,,,,,
https://www.naukri.com/job-listings-Mega-Drive-XDBS-Pvt-Ltd-for-International-Voice-Process-meet-HR-Sara-Xponential-Data-and-Business-Services-Pvt-Ltd-Pune-0-to-5-years-210318002160?src=jobsearchDesk&sid=15216376043248&xp=5&px=2,Mega Drive: XDBS Pvt Ltd for International Voice Process-meet HR Sara,Mega Drive: XDBS Pvt Ltd for International Voice Process-meet HR Sara,Xponential Data and Business Services Pvt Ltd,Pune,0-5 yrs,Lead Generation- Cold Calling- Demand Generation- Market Research- Presales..., XDBS Private Limited offers you the better opportunity to come and join the best international B2B ...,Not disclosed,0,,,,,,
https://www.naukri.com/job-listings-Walkin-Executive-senior-Executive-HR-Net-Access-India-Limited-Chennai-3-to-5-years-210318001442?src=jobsearchDesk&sid=15216376043248&xp=6&px=2,Walkin | Executive/senior Executive - HR,Walkin | Executive/senior Executive - HR,Net Access India Limited,Chennai,3-5 yrs,HR Generalist Activities- Exit Process- Employee Engagement..., ,Not disclosed,0,,,,,,
https://www.naukri.com/job-listings-Direct-Walk-in-for-HR-Executive-Urgent-Radiant-Cash-Management-Services-Pvt-Ltd-Chennai-0-to-2-years-210318001549?src=jobsearchDesk&sid=15216376043248&xp=7&px=2,Direct Walk-in for HR Executive - Urgent ,Direct Walk-in for HR Executive - Urgent ,Radiant Cash Management Services Pvt. Ltd,Chennai,0-2 yrs,cash management- human resource management- hr generalist activities,Company Name : Radiant Cash Management Service Pvt Ltd Job Position : HR Generalist  Exp ...,Not disclosed,0,,,,,,
https://www.naukri.com/job-listings-Wipro-Hiring-for-International-Airlines-in-Powai-HR-Tejal-Wipro-BPS-Mumbai-Mumbai-Suburbs-0-to-3-years-210318004406?src=jobsearchDesk&sid=15216376043248&xp=8&px=2,Wipro Hiring for International Airlines in Powai HR Tejal,Wipro Hiring for International Airlines in Powai HR Tejal,Wipro BPS,Mumbai- Mumbai Suburbs,0-3 yrs,airlines- iata- voice process- international bpo- voice...,Wipro BPS is Hiring for  International Airlines Process . ( Voice Process ...,Not disclosed,0,,,,,,
https://www.naukri.com/job-listings-HR-Marketing-Executive-Ojas-Innovative-Technologies-Private-Limited-Hyderabad-0-to-1-years-210318001522?src=jobsearchDesk&sid=15216376043248&xp=9&px=2,HR Marketing Executive,HR Marketing Executive,Ojas Innovative Technologies Private Limited,Hyderabad,0-1 yrs,HR - Marketing Executive,"1.	Designation- HR-Marketing Executive( Male ...",100000 - 300000 P.A.,0,,,,,,
https://www.naukri.com/job-listings-Wipro-is-Hiring-for-International-Airlines-Powai-HR-Tejal-Wipro-BPS-Mumbai-Mumbai-Suburbs-0-to-3-years-210318004388?src=jobsearchDesk&sid=15216376043248&xp=10&px=2,Wipro is Hiring for International Airlines @ Powai HR Tejal,Wipro is Hiring for International Airlines @ Powai HR Tejal,Wipro BPS,Mumbai- Mumbai Suburbs,0-3 yrs,airlines- iata- international bpo- travel process- travel- reservation- cse...,Wipro BPS is Hiring for  International Airlines Process . ( Non Voice Process ...,Not disclosed,0,,,,,,
