Brand, Product_name, Price, Shipping 
CyberpowerPC,CyberpowerPC Desktop Computer Gamer Xtreme C780 Intel Core i7 8th Gen 8700 (3.20 GHz) 16 GB DDR4 2 TB HDD 16 GB Optane Memory Windows 10 Home 64-Bit,$1549.99,$9.99 Shipping
CybertronPC,CLX SET AMD Ryzen 7 1700X 3.40GHz 8-Core 16GB DDR4 NVIDIA GTX 1070 8GB 256GB SSD 3TB HDD Win 10 Home 64-bit,$1819.99,$9.99 Shipping
Lenovo,Lenovo Desktop Computer IdeaCentre Y900-34ISZ Intel Core i7 6th Gen 6700K (4.00 GHz) 16 GB DDR4 1 TB HDD 128 GB SSD Windows 10 Home,$1149.99,$9.99 Shipping
CybertronPC,CLX SET AMD Ryzen Threadripper 1920X 3.50GHz 14-Core Liquid Cooled 32GB DDR4 240GB SSD 3TB NVIDIA GeForce GTX 1080 Ti 11GB Windows 10,$3389.99,$9.99 Shipping
CybertronPC,CLX SET Intel Core i9 7920X 2.90 GHz 12-Core Liquid Cooled 32GB DDR4 480GB SSD 3TB NVIDIA Geforce GTX 1080 Ti 8GB WiFi Windows 10,$3889.99,$9.99 Shipping
ASUS,ASUS G11CD Gaming Desktop Intel Core i5 Processor GeForce GTX 1060 6 GB GDDR5 1 TB 7200 RPM HDD 8 GB DDR4 RAM Customizable RGB Lighting Mid Tower Windows 10 Pre-installed,$899.99,Free Shipping
DELL,DELL Desktop Computer XPS XPS8920-7599BLK Intel Core i7 7th Gen 7700 (3.60 GHz) 16 GB DDR4 2 TB HDD 256 GB M.2 PCIe SSD Windows 10 Home 64-Bit,$1179.99,$9.99 Shipping
iBUYPOWER,iBUYPOWER Battlebox Essential Desktop Computer NE770RAi Intel Core i7 7th Gen 7700 (3.60 GHz) 8 GB DDR4 1 TB HDD 120 GB SSD Windows 10 Home 64-Bit,$999.99,Free Shipping
ZOTAC,ZOTAC GAMING MEK1 GAMING PC NVIDIA GeForce GTX 1070 Ti Intel Core i7-7700 (3.60 GHz) 16 GB DDR4 240 GB NVMe SSD 1 TB HDD Windows 10 SPECTRA Lighting Ultra-Slim Design Mini ITX Desktop - G1107TK700B-U,$1599.99,Free Shipping
DELL,DELL Desktop Computer Inspiron 5675 i5675-A933BLU-PUS Ryzen 5 1400 (3.20 GHz) 8 GB DDR4 1 TB HDD Windows 10 Home 64-Bit,$619.99,Free Shipping
ABS,ABS Battlebox Ultimate Bearcat Barrage NVIDIA GeForce GTX 1080 Ti Intel i7-8700K (3.70 GHz) 16 GB DDR4 240 GB SSD 1 TB HDD Windows 10 Home 64-Bit ALI175,$1919.99,$9.99 Shipping
